field_1,field_2,field_3
Edogawa,139.874084604924775,35.634910149593765
Nakagawa,139.845363723702633,35.679427515488101
Arakawa,139.850389877916513,35.656450810510378
Sumidagawa,139.760637124097286,35.646398502082626
Tamagawa,139.762073168158395,35.539413219530118
Tsurumigawa,139.680936678705820,35.475509258810831
